,lgb
0,Rift_Valley_fever
1,Dengue
2,West_Nile_fever
3,Japanese_encephalitis
4,Zika
5,Plague
6,Plague
7,Chikungunya
8,Yellow_Fever
9,Plague
10,Dengue
11,Rift_Valley_fever
12,Japanese_encephalitis
13,Chikungunya
14,Plague
15,Yellow_Fever
16,West_Nile_fever
17,Tungiasis
18,Dengue
19,Plague
20,West_Nile_fever
21,Yellow_Fever
22,Yellow_Fever
23,Malaria
24,West_Nile_fever
25,Dengue
26,Japanese_encephalitis
27,West_Nile_fever
28,West_Nile_fever
29,Lyme_disease
30,Plague
31,Tungiasis
32,Lyme_disease
33,Yellow_Fever
34,Lyme_disease
35,West_Nile_fever
36,Japanese_encephalitis
37,Zika
38,Lyme_disease
39,West_Nile_fever
40,Lyme_disease
41,Chikungunya
42,Malaria
43,Yellow_Fever
44,Chikungunya
45,Dengue
46,Chikungunya
47,Lyme_disease
48,Malaria
49,Tungiasis
50,Malaria
51,Dengue
52,Lyme_disease
53,Yellow_Fever
54,Rift_Valley_fever
55,Lyme_disease
56,Dengue
57,Chikungunya
58,Dengue
59,Dengue
60,Lyme_disease
61,West_Nile_fever
62,West_Nile_fever
63,Dengue
64,Tungiasis
65,Chikungunya
66,Plague
67,West_Nile_fever
68,West_Nile_fever
69,Tungiasis
70,Dengue
71,Lyme_disease
72,Lyme_disease
73,Rift_Valley_fever
74,Zika
75,Chikungunya
76,Japanese_encephalitis
77,Plague
78,Plague
79,Malaria
80,Zika
81,Malaria
82,Yellow_Fever
83,Yellow_Fever
84,West_Nile_fever
85,Malaria
86,Yellow_Fever
87,Chikungunya
88,Tungiasis
89,Plague
90,Malaria
91,Chikungunya
92,Yellow_Fever
93,Tungiasis
94,Dengue
95,Chikungunya
96,Zika
97,Japanese_encephalitis
98,Chikungunya
99,West_Nile_fever
100,Plague
101,Japanese_encephalitis
102,Malaria
103,Yellow_Fever
104,Tungiasis
105,Chikungunya
106,Japanese_encephalitis
107,Japanese_encephalitis
108,Chikungunya
109,West_Nile_fever
110,Plague
111,Tungiasis
112,Malaria
113,Tungiasis
114,West_Nile_fever
115,Dengue
116,Malaria
117,Dengue
118,Tungiasis
119,Japanese_encephalitis
120,West_Nile_fever
121,Chikungunya
122,Malaria
123,Japanese_encephalitis
124,Dengue
125,Yellow_Fever
126,Tungiasis
127,Japanese_encephalitis
128,Chikungunya
129,Tungiasis
130,Malaria
131,Dengue
132,West_Nile_fever
133,Lyme_disease
134,Japanese_encephalitis
135,Lyme_disease
136,Yellow_Fever
137,Tungiasis
138,Tungiasis
139,Chikungunya
140,Malaria
141,Japanese_encephalitis
142,Plague
143,West_Nile_fever
144,Yellow_Fever
145,Plague
146,Dengue
147,Dengue
148,Japanese_encephalitis
149,Zika
150,Chikungunya
151,Tungiasis
152,West_Nile_fever
153,Zika
154,Rift_Valley_fever
155,Lyme_disease
156,Rift_Valley_fever
157,Chikungunya
158,Plague
159,Chikungunya
160,Japanese_encephalitis
161,Chikungunya
162,Tungiasis
163,Rift_Valley_fever
164,Chikungunya
165,Plague
166,Malaria
167,Chikungunya
168,Dengue
169,Yellow_Fever
170,Japanese_encephalitis
171,Rift_Valley_fever
172,Japanese_encephalitis
173,Plague
174,Tungiasis
175,Malaria
176,Chikungunya
177,Lyme_disease
178,Rift_Valley_fever
179,Tungiasis
180,Chikungunya
181,Dengue
182,Chikungunya
183,Malaria
184,West_Nile_fever
185,West_Nile_fever
186,Yellow_Fever
187,Chikungunya
188,Chikungunya
189,Plague
190,Lyme_disease
191,Tungiasis
192,Malaria
193,Yellow_Fever
194,West_Nile_fever
195,Yellow_Fever
196,Yellow_Fever
197,Lyme_disease
198,Plague
199,Lyme_disease
200,Dengue
201,Dengue
202,Chikungunya
203,Lyme_disease
204,Japanese_encephalitis
205,Tungiasis
206,Japanese_encephalitis
207,Yellow_Fever
208,Malaria
209,Dengue
210,Japanese_encephalitis
211,West_Nile_fever
212,Yellow_Fever
213,Lyme_disease
214,Chikungunya
215,Chikungunya
216,Dengue
217,Zika
218,Japanese_encephalitis
219,Dengue
220,Zika
221,Japanese_encephalitis
222,Chikungunya
223,West_Nile_fever
224,Tungiasis
225,West_Nile_fever
226,Dengue
227,Plague
228,Chikungunya
229,West_Nile_fever
230,Malaria
231,Tungiasis
232,Plague
233,Tungiasis
234,Plague
235,Dengue
236,Yellow_Fever
237,Yellow_Fever
238,Dengue
239,Malaria
240,Zika
241,Dengue
242,Tungiasis
243,Yellow_Fever
244,Malaria
245,Dengue
246,Lyme_disease
247,West_Nile_fever
248,Dengue
249,Zika
250,West_Nile_fever
251,Chikungunya
252,Tungiasis
253,Yellow_Fever
254,Rift_Valley_fever
255,Plague
256,West_Nile_fever
257,Chikungunya
258,Malaria
259,Lyme_disease
260,West_Nile_fever
261,Lyme_disease
262,Plague
263,Tungiasis
264,Tungiasis
265,Zika
266,Dengue
267,Lyme_disease
268,Malaria
269,Plague
270,Zika
271,West_Nile_fever
272,Plague
273,Yellow_Fever
274,Rift_Valley_fever
275,Malaria
276,Tungiasis
277,Lyme_disease
278,Malaria
279,Dengue
280,West_Nile_fever
281,Chikungunya
282,Rift_Valley_fever
283,Dengue
284,Yellow_Fever
285,West_Nile_fever
286,Malaria
287,Malaria
288,Dengue
289,Dengue
290,West_Nile_fever
291,Zika
292,West_Nile_fever
293,Dengue
294,Plague
295,Zika
296,Yellow_Fever
297,West_Nile_fever
298,Zika
299,Lyme_disease
300,West_Nile_fever
301,Rift_Valley_fever
302,West_Nile_fever
