,0
0,Rift_Valley_fever
1,Dengue
2,West_Nile_fever
3,Japanese_encephalitis
4,Malaria
5,Yellow_Fever
6,Malaria
7,Chikungunya
8,Yellow_Fever
9,Yellow_Fever
10,West_Nile_fever
11,Rift_Valley_fever
12,Rift_Valley_fever
13,Chikungunya
14,West_Nile_fever
15,Japanese_encephalitis
16,West_Nile_fever
17,Tungiasis
18,Dengue
19,Zika
20,West_Nile_fever
21,Yellow_Fever
22,Japanese_encephalitis
23,Plague
24,Chikungunya
25,Chikungunya
26,West_Nile_fever
27,Yellow_Fever
28,Zika
29,Japanese_encephalitis
30,Zika
31,Tungiasis
32,Lyme_disease
33,Lyme_disease
34,Lyme_disease
35,West_Nile_fever
36,Japanese_encephalitis
37,Plague
38,Dengue
39,West_Nile_fever
40,Plague
41,Chikungunya
42,Yellow_Fever
43,Yellow_Fever
44,Chikungunya
45,Rift_Valley_fever
46,Chikungunya
47,Lyme_disease
48,Yellow_Fever
49,Tungiasis
50,Rift_Valley_fever
51,Rift_Valley_fever
52,Lyme_disease
53,Yellow_Fever
54,Dengue
55,Lyme_disease
56,Chikungunya
57,Chikungunya
58,West_Nile_fever
59,Dengue
60,Malaria
61,West_Nile_fever
62,Lyme_disease
63,Chikungunya
64,Tungiasis
65,Plague
66,West_Nile_fever
67,West_Nile_fever
68,Rift_Valley_fever
69,Tungiasis
70,Dengue
71,Yellow_Fever
72,Malaria
73,Dengue
74,Yellow_Fever
75,Chikungunya
76,Japanese_encephalitis
77,Japanese_encephalitis
78,Yellow_Fever
79,Plague
80,Zika
81,Japanese_encephalitis
82,Yellow_Fever
83,Plague
84,Japanese_encephalitis
85,Malaria
86,Lyme_disease
87,Chikungunya
88,Tungiasis
89,Plague
90,West_Nile_fever
91,Chikungunya
92,Yellow_Fever
93,Tungiasis
94,Dengue
95,Chikungunya
96,West_Nile_fever
97,West_Nile_fever
98,Plague
99,West_Nile_fever
100,West_Nile_fever
101,Japanese_encephalitis
102,Malaria
103,Rift_Valley_fever
104,Tungiasis
105,Chikungunya
106,Japanese_encephalitis
107,Rift_Valley_fever
108,Yellow_Fever
109,Malaria
110,Zika
111,Tungiasis
112,Yellow_Fever
113,Tungiasis
114,Japanese_encephalitis
115,Dengue
116,Plague
117,Chikungunya
118,Tungiasis
119,West_Nile_fever
120,West_Nile_fever
121,Chikungunya
122,Zika
123,Dengue
124,Japanese_encephalitis
125,Yellow_Fever
126,Tungiasis
127,Japanese_encephalitis
128,Chikungunya
129,Tungiasis
130,Plague
131,Plague
132,West_Nile_fever
133,Lyme_disease
134,Yellow_Fever
135,Lyme_disease
136,Rift_Valley_fever
137,Tungiasis
138,Tungiasis
139,Chikungunya
140,Malaria
141,Japanese_encephalitis
142,Malaria
